100
20
4,7,5,8,2,5,2,5,1,4,8,9,1,9,4,6,3,7,1,9
0.762,0.593,0.603,0.1,0.008,0.0,0.917,0.217,0.282,0.981,0.397,0.575,0.214,0.357,0.277,0.029,0.003,0.128,0.012,0.341
10.119,12.409,13.588,15.83,13.862,12.626,0.012,3.273,16.983,14.93,3.915,1.161,16.512,9.306,15.677,7.707,6.825,15.817,14.735,1.254
0.1,0,0,0,0,0.1,0.1,0,0.1,0,0,0.1,0,0.1,0,0.1,0.1,0,0,0.1
0.1,0,0.1,0,0.1,0.1,0.1,0.1,0,0,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1
0,0,0,0.1,0,0,0,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1
0.1,0,0.1,0,0,0.1,0.1,0,0,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1
0,0,0.1,0.1,0,0,0.1,0.1,0,0,0.1,0.1,0.1,0,0.1,0,0.1,0.1,0.1,0
0,0.1,0,0,0.1,0,0,0.1,0,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0,0.1,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0.1,0,0.1,0.1,0,0.1,0,0.1,0.1
0.1,0.1,0,0,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0,0.1,0,0,0.1,0.1
0,0,0,0,0.1,0,0,0.1,0,0.1,0.1,0,0.1,0.1,0,0,0.1,0.1,0,0
0.1,0.1,0,0.1,0.1,0.1,0,0,0.1,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0
0,0.1,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0.1,0.1,0.1,0,0.1,0,0.1
0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1
0.1,0,0,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0
0.1,0,0.1,0,0,0.1,0,0.1,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0.1,0.1,0.1
0.1,0,0.1,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0,0,0.1,0,0,0,0.1
0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0.1
0.1,0,0.1,0.1,0.1,0,0,0.1,0,0.1,0.1,0.1,0,0,0.1,0,0,0,0.1,0.1
0.1,0,0.1,0,0.1,0.1,0.1,0,0.1,0.1,0,0,0.1,0.1,0,0.1,0,0,0,0.1
0.1,0.1,0,0.1,0,0.1,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1
0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0.1,0.1,0,0.1,0
111.23
40
